,,,,,,,,,,,,,
,All Plans,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Provider,Plan Name,Plan Type,Monthly Price (SAR),Data (GB),Social Media Data,Local Call Minutes,International Call Minutes,SMS,Roaming Data GB,Contract Terms,Special Features,URL
,Mobily,Prepaid 30,Prepaid,34.5,1,1 GB,100,-,-,,30 days,-,https://www.mobily.com.sa/web/en/personal/mobile/prepaid/prepaid-30
,STC,Sawa Basic,Prepaid,34.5,1,1,100,,,,4 weeks,,https://www.stc.com.sa/content/stc-public-store/sa/en/public-store-landing-page/postpaid-landing-page/plan-detail.html?type=new&simType=REGULAR&productId=PRE_SPN_VD12_VAL_1M_R
,Virgin Mobile,Baqah 45,Prepaid,51.75,3,1 GB,250,-,-,,4 weeks,-,https://virginmobile.sa/join/#/plan-select
,Jawwy,Jawwy 45,Prepaid,51.75,2,2 GB,250,-,-,,30 days,-,https://www.jawwy.sa/content/jawwy/en/shop/sim-plans/jawwy-45-hybrid.html
,Lebara,eze 60,Postpaid,69,6,6 GB,400,-,-,,No contract,5G enabled,https://lebara.sa/en/number-booking-new/voice-plans?category=postpaid
,STC,Mofawtar 4,Postpaid,517.5,Unlimited,-,Unlimited,100,Unlimited within Stc + 200 other local networks,,3 months promo,"5GB roaming WW + 5GB GCC , stc tv premium",https://www.stc.com.sa/content/stc-public-store/sa/en/public-store-landing-page/postpaid-landing-page/plan-detail.html?type=new&productId=1-BCQU0AN
,STC,Mofawtar Max,Postpaid,920,Unlimited,-,Unlimited,-,-,,-,"Unlimited roaming, 2 MultiSIM, Device subsidy up to 8280 SAR",https://www.stc.com.sa/content/stc-public-store/sa/en/public-store-landing-page/postpaid-landing-page/plan-detail.html?type=new&productId=1-7ZTDBRF
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Yaqoot,Mini X 5G,Prepaid,67,7,7 GB (Limited Apps),400,-,-,,4 weeks,5G enabled,https://yaqoot.sa/ar#voice-packages
,Virgin Mobile,Baqah Flex 60,Prepaid,69,6,6 GB,300 Flex,-,-,,4 weeks,-,https://virginmobile.sa/join/#/plan-select
,Lebara,Yalla 70,Prepaid,80.5,15,20 GB,350,-,-,,30 days,-,https://lebara.sa/en/number-booking-new/voice-plans?category=prepaid
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Mobily,Postpaid 65,Postpaid,74.75,8,8 GB,400,-,65,,-,-,https://www.mobily.com.sa/web/en/personal/mobile/postpaid/postpaid-65
,Mobily,Prepaid 75,Prepaid,75,20,-,500,-,-,,30 days,10+10 GB data,https://www.mobily.com.sa/web/en/personal/mobile/prepaid/prepaid-75
,Zain,Shabab 79,Prepaid,79,15,25 GB,350,-,-,,4 weeks,Extra benefit,https://shop.sa.zain.com/en/product/prepaid-voice-shabab-digital/shabab-79
,Mobily,Prepaid 360,Prepaid,343.48,Unlimited,Unlimited,-,-,-,,30 days,-,https://www.mobily.com.sa/web/en/personal/mobile/prepaid/prepaid-360
,Lebara,eze 80,Postpaid,92,25,25 GB,500,-,-,,No contract,5G enabled,https://lebara.sa/en/number-booking-new/voice-plans?category=postpaid
,Virgin Mobile,Baqah 70,Prepaid,80.5,20,20 GB,350,-,-,,4 weeks,-,https://virginmobile.sa/join/#/plan-select
,Mobily,Postpaid 150,Postpaid,172.5,56,-,Unlimited,-,150,,-,-,https://www.mobily.com.sa/web/en/personal/mobile/postpaid/postpaid-150
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Zain,Postpaid 75,Postpaid,75,10,-,400,-,-,,-,"1 Data SIM, Installment up to 1800 SAR",https://shop.sa.zain.com/en/product/postpaid-75
,Jawwy,Jawwy 70,Prepaid,80.5,22,18 GB,350,-,-,,30 days,-,https://www.jawwy.sa/content/jawwy/en/shop/sim-plans/jawwy-70-hybrid.html
,Salam,Solo 74,Prepaid,85.68,20,20 GB,450,-,450,,30 days,20GB Data Rollover,https://salammobile.sa/en/solo-74-prepaid/
,Salam,Solo 74 (Postpaid),Postpaid,85.68,20,20 GB,450,-,450,,30 days,20GB Data Rollover,https://salammobile.sa/en/solo-74-postpaid/
,Zain,Postpaid 420,Postpaid,420,Unlimited,-,Unlimited,-,-,,-,"8GB roaming, 2 Data SIMs, Silver vanity",https://shop.sa.zain.com/en/product/postpaid-420
,Zain,Postpaid 650,Postpaid,650,Unlimited,-,Unlimited,130,-,,-,"Unlimited worldwide roaming, Gold vanity",https://shop.sa.zain.com/en/product/postpaid-650
,Zain,Black,Postpaid,1000,Unlimited,-,Unlimited,200 + 200 roaming,-,,-,"Unlimited worldwide roaming, Platinum vanity",https://shop.sa.zain.com/en/product/black
,Jawwy,Flex 75,Prepaid,86.25,12,12 GB,400,-,-,,30 days,Flexible plan,https://www.jawwy.sa/content/jawwy/en/shop/sim-plans/jawwy-flex-75-hybrid.html
,STC,Mofawtar Basic+,Postpaid,90,10,10 GB,300 (STC only),-,-,,-,,https://www.stc.com.sa/content/stc-public-store/sa/en/public-store-landing-page/postpaid-landing-page/plan-detail.html?type=new&productId=1-BCQQLMA
,Lebara,Yalla 90,Prepaid,103.5,35,55 GB,600,-,-,,30 days,-,https://lebara.sa/en/number-booking-new/voice-plans?category=prepaid
,Yaqoot,Voice Package 1X 5G,Prepaid,90,30,7 Apps Unlimited,300,-,300,,4 weeks,5G enabled,https://yaqoot.sa/en#voice-packages
,Lebara,eze 100,Postpaid,115,35,Unlimited,1000,-,450,,No contract,5G enabled,https://lebara.sa/en/number-booking-new/voice-plans?category=postpaid
,Zain,Data 50GB,Data-only,115,50,-,-,-,-,,Monthly,655 SAR device discount,https://shop.sa.zain.com/en/product/postpaid-data-50gb
,Zain,Data 50GB + 50GB SM,Data-only,149,50,50 GB,-,-,-,,Monthly,-,https://shop.sa.zain.com/en/product/50gb+50gb
,Zain,Data 100GB,Data-only,179,100,-,-,-,-,,Monthly,-,https://shop.sa.zain.com/en/product/postpaid-data-100gb
,Zain,Data Unlimited,Data-only,373.75,Unlimited,-,-,-,-,,Monthly,-,https://shop.sa.zain.com/en/product/unlimited-data
,Zain,Data 30GB+50GB SM (Prepaid),Data-only,113.85,30,50 GB,-,-,-,,30 days,-,https://shop.sa.zain.com/en/product/prepaid-data/prepaid-data-30gb-social-50gb
,Zain,Data 75GB+75GB SM (Prepaid),Data-only,228.85,75,75 GB,-,-,-,,2 months,-,https://shop.sa.zain.com/en/product/prepaid-data/prepaid-data-75gb-social-75gb
,Virgin Mobile,Baqah 90,Prepaid,103.5,30,Unlimited,450,-,-,,4 weeks,-,https://virginmobile.sa/join/#/category
,Jawwy,Jawwy 90,Prepaid,103.5,32,Unlimited,500,-,-,,30 days,Trending,https://www.jawwy.sa/content/jawwy/en/shop/sim-plans/jawwy-90-hybrid.html
,Mobily,Prepaid 110,Prepaid,126.5,40,100 GB,1500,-,-,,30 days,25+15 GB data,https://www.mobily.com.sa/web/en/personal/mobile/prepaid/prepaid-110
,Lebara,Yalla 110,Prepaid,126.5,40,Unlimited,1100,-,-,,30 days,-,https://lebara.sa/en/number-booking-new/voice-plans?category=prepaid
,Salam,Solo 99,Prepaid,113.85,35,Unlimited,1000,-,450,,30 days,20GB Data Rollover,https://salammobile.sa/en/solo-99/
,Salam,Super Flex 85,Prepaid,97.75,15,15 GB,-,750,-,,28 days,750 Flex Minutes,https://salammobile.sa/en/flex-plans/
,Salam,Super Flex 110,Prepaid,126.5,30,Unlimited,-,1200,-,,28 days,1200 Flex Minutes,https://salammobile.sa/en/flex-plans/
,Salam,Solo Infinite ,Prepaid,412.85,Unlimited,-,Unlimited,-,Unlimited,,30 days,1 Additional Data SIM,https://salammobile.sa/en/solo-plans/
,Salam,Solo 99 (Postpaid),Postpaid,113.85,35,Unlimited,1000,-,450,,30 days,20GB Data Rollover,https://salammobile.sa/en/solo-99-postpaid/
,Mobily,Postpaid 100,Postpaid,132.25,20,15 GB,1500,-,-,,-,-,https://www.mobily.com.sa/web/en/personal/mobile/postpaid/postpaid-100
,Virgin Mobile,Baqah 100,Prepaid,115,40,Unlimited,750,-,-,,4 weeks,-,https://virginmobile.sa/join/#/category
,Virgin Mobile,Baqah Flex 100,Prepaid,115,35,35 GB,1000 Flex,-,-,,4 weeks,-,https://virginmobile.sa/join/#/category
,Salam,Solo Infinite (Postpaid),Postpaid,412.85,Unlimited,-,Unlimited,-,Unlimited,,30 days,,https://salammobile.sa/en/solo-infinite-postpaid/
,Salam,Data 35GB+40GB SM,Data-only,109.25,35,40 GB,-,-,-,,30 days,-,https://salammobile.sa/en/mbb/
,Salam,Data 30GB+50GB SM,Data-only,115,30,50 GB,-,-,-,,30 days,-,https://salammobile.sa/en/mbb/
,Salam,Data 50GB+50GB SM (Postpaid),Data-only,149,50,50 GB,-,-,-,,30 days,-,https://salammobile.sa/en/mbb/
,Salam,Data 100GB (Prepaid),Data-only,172.5,100,-,-,-,-,,30 days,-,https://salammobile.sa/en/mbb/
,Salam,Data 100GB (Postpaid),Data-only,173,100,-,-,-,-,,30 days,-,https://salammobile.sa/en/mbb/
,Salam,Data 10GB - 90 Days,Data-only,149.5,10,-,-,-,-,,90 days,-,https://salammobile.sa/en/mbb/
,Salam,Data 45GB - 90 Days,Data-only,195.5,45,-,-,-,-,,90 days,-,https://salammobile.sa/en/mbb/
,Salam,Data 135GB - 90 Days,Data-only,253,135,-,-,-,-,,90 days,-,https://salammobile.sa/en/mbb/
,Salam,Data 500GB - 1 Year,Data-only,920,500,-,-,-,-,,1 year,-,https://salammobile.sa/en/mbb/
,Salam,Data 1TB - 1 Year,Data-only,1725,1000,-,-,-,-,,1 year,-,https://salammobile.sa/en/mbb/
,Zain,Shabab 119,Prepaid,119,45,100 GB,650,-,-,,4 weeks,Extra benefit,https://shop.sa.zain.com/en/product/prepaid-voice-shabab-digital/shabab-119
,Zain,Postpaid 120,Postpaid,120,40,30 GB,1000,-,-,,-,"1 Data SIM, Installment up to 2880 SAR",https://shop.sa.zain.com/en/product/postpaid-120
,Lebara,Flex 100,Prepaid,100,35,35 GB,,900 Flex,-,,28 days,Flex mins for local/intl,https://lebara.sa/en/number-booking-new/voice-plans?category=prepaid
,Jawwy,Flex 105,Prepaid,120.75,40,40 GB,1000,-,-,,30 days,Flexible plan,https://www.jawwy.sa/content/jawwy/en/shop/sim-plans/jawwy-flex-105-hybrid.html
,Lebara,Yalla Stream 5 Weeks,Prepaid,143.75,50,Unlimited,1000,-,-,,35 days,Unlimited Streaming,https://lebara.sa/en/number-booking-new/voice-plans?category=prepaid
,Yaqoot,Voice Package 2X 5G,Prepaid,125,50,7 Apps Unlimited,500,-,500,,4 weeks,5G enabled,https://yaqoot.sa/en#voice-packages
,Virgin Mobile,Baqah 110,Prepaid,126.5,45,Unlimited,745,-,-,,4 weeks,-,https://virginmobile.sa/join/#/category
,Jawwy,Jawwy 110,Prepaid,126.5,45,Unlimited,750,-,-,,30 days,-,https://www.jawwy.sa/content/jawwy/en/shop/sim-plans/jawwy-110-hybrid.html
,Lebara,Yalla 130,Prepaid,149.5,55,Unlimited,1000,-,-,,30 days,-,https://lebara.sa/en/number-booking-new/voice-plans?category=prepaid
,Lebara,eze 130,Postpaid,149.5,55,Unlimited,1000,-,-,,No contract,5G enabled,https://lebara.sa/en/number-booking-new/voice-plans?category=postpaid
,STC,Mofawtar 2,Postpaid,138,25,25 GB,Unlimited STC + 200 other local networks,-,Unlimited within Stc + 200 other local networks,,-,Free Amazon Prime subscription,https://www.stc.com.sa/content/stc-public-store/sa/en/public-store-landing-page/postpaid-landing-page/plan-detail.html?type=new&productId=1-7ZTA5W6
,Virgin Mobile,Switch 120,Postpaid,138,35,Unlimited,Unlimited,-,Unlimited,,-,-,https://virginmobile.sa/join/#/category
,Zain,Shabab 149,Prepaid,149,45,Unlimited,1150,-,-,,4 weeks,Extra benefit,https://shop.sa.zain.com/en/product/prepaid-voice-shabab-digital/shabab-149
,Lebara,Yalla 150,Prepaid,172.5,70,Unlimited,1000,-,-,,30 days,-,https://lebara.sa/en/number-booking-new/voice-plans?category=prepaid
,Salam,Solo 149,Prepaid,171.35,59,Unlimited,Unlimited,-,Unlimited,,30 days,25GB Data Rollover,https://salammobile.sa/en/solo-postpaid/
,Lebara,Data 1GB - 1 Day,Data-only,5,1,-,-,-,-,,1 day,-,https://lebara.sa/en/bundle_category/data-net-saver/
,Lebara,Data 3GB - 1 Day,Data-only,10,3,-,-,-,-,,1 day,-,https://lebara.sa/en/bundle_category/data-net-saver/
,Lebara,Data 10GB - 1 Week,Data-only,35,10,-,-,-,-,,7 days,-,https://lebara.sa/en/bundle_category/data-net-saver/
,Lebara,Data 15GB+5GB SM - 1 Month,Data-only,65,15,5 GB,-,-,-,,30 days,-,https://lebara.sa/en/bundle_category/data-net-saver/
,Lebara,Data Unlimited SM - 1 Month,Data-only,70,-,Unlimited,-,-,-,,30 days,-,https://lebara.sa/en/bundle_category/data-net-saver/
,Lebara,Data 60GB - 1 Month,Data-only,95,60,-,-,-,-,,30 days,-,https://lebara.sa/en/bundle_category/data-net-saver/
,Lebara,Data 50GB+Unlimited SM - 1 Month,Data-only,115,50,Unlimited,-,-,-,,30 days,-,https://lebara.sa/en/bundle_category/data-net-saver/
,Lebara,Data 100GB+100GB SM - 3 Months,Data-only,260,100,100 GB,-,-,-,,90 days,-,https://lebara.sa/en/bundle_category/data-net-saver/
,Lebara,Data Unlimited - 1 Month,Data-only,325,Unlimited,-,-,-,-,,30 days,-,https://lebara.sa/en/bundle_category/data-net-saver/
,Salam,Solo 149 (Postpaid),Postpaid,171.35,59,Unlimited,Unlimited,-,Unlimited,,30 days,25GB Data Rollover,https://salammobile.sa/en/solo-postpaid/
,STC,Mofawtar 2+,Postpaid,172.5,55,Unlimited,Unlimited STC + 400 other,-,150 within stc + 150 to other local networks,,-,Free Amazon Prime subscription,https://www.stc.com.sa/content/stc-public-store/sa/en/public-store-landing-page/postpaid-landing-page/plan-detail.html?type=new&productId=1-ACYC3YR
,STC,Sawa 150,Prepaid,172.5,55,Unlimited,3000,-,-,,Expires 31/03/2026,-,https://www.stc.com.sa/content/stc-public-store/sa/en/public-store-landing-page/postpaid-landing-page/plan-detail.html?type=new&simType=REGULAR&productId=PRE_SPN_SAWA150_VAL_1M_R
,Virgin Mobile,Baqah 150,Prepaid,172.5,55,Unlimited,Unlimited,-,-,,4 weeks,-,https://virginmobile.sa/join/#/category
,Virgin Mobile,Switch 150,Postpaid,172.5,55,Unlimited,Unlimited,-,Unlimited,,-,-,https://virginmobile.sa/join/#/category
,Jawwy,Jawwy 150,Prepaid,172.5,72,Unlimited,1000,-,-,,30 days,-,https://www.jawwy.sa/content/jawwy/en/shop/sim-plans/jawwy-150-hybrid.html
,Yaqoot,Voice Package 3X 5G,Prepaid,175,75,7 Apps Unlimited,750,-,750,,4 weeks,5G enabled,https://yaqoot.sa/en#voice-packages
,Zain,Shabab 179,Prepaid,179,74,Unlimited,1150,-,-,,4 weeks,Extra benefit,https://shop.sa.zain.com/en/product/prepaid-voice-shabab-digital/shabab-179
,Zain,Postpaid 180,Postpaid,180,72,Unlimited,1300,-,-,,-,"1 Data SIM, Installment up to 4320 SAR",https://shop.sa.zain.com/en/product/postpaid-180
,Lebara,Yalla 180,Prepaid,207,95,Unlimited,600,-,-,,30 days,-,https://lebara.sa/en/number-booking-new/voice-plans?category=prepaid
,Lebara,eze 200,Postpaid,230,93,Unlimited,Unlimited,-,-,,No contract,5G enabled,https://lebara.sa/en/number-booking-new/voice-plans?category=postpaid
,STC,Sawa 175,Prepaid,201.25,85,Unlimited,1000,-,-,,Expires 31/03/2026,-,https://www.stc.com.sa/content/stc-public-store/sa/en/public-store-landing-page/postpaid-landing-page/plan-detail.html?type=new&simType=REGULAR&productId=PRE_SPN_SAWA175_VAL_1M_R
,Salam,Solo 179,Prepaid,205.85,79,Unlimited,Unlimited,-,Unlimited,,30 days,40GB Data Rollover,https://salammobile.sa/en/solo-179-prepaid/
,Salam,Solo 179 (Postpaid),Postpaid,205.85,79,Unlimited,Unlimited,-,Unlimited,,30 days,40GB Data Rollover,https://salammobile.sa/en/solo-179-postpaid/
,Virgin Mobile,Switch 180,Postpaid,207,75,Unlimited,Unlimited,-,Unlimited,,-,-,https://virginmobile.sa/join/#/category
,Virgin Mobile,Baqah 185,Prepaid,212.75,80,Unlimited,Unlimited,-,-,,4 weeks,-,https://virginmobile.sa/join/#/category
,Lebara,Yalla 220,Prepaid,253,120,Unlimited,700,-,-,,30 days,-,https://lebara.sa/en/number-booking-new/voice-plans?category=prepaid
,Yaqoot,Voice Package 4X 5G,Prepaid,220.57,100,Unlimited,1000,-,1000,,4 weeks,5G enabled,https://yaqoot.sa/en#voice-packages
,Virgin Mobile,MBB 50GB - 1 Month,Data-only,97.75,50,-,-,-,-,,1 month,5G,https://virginmobile.sa/join/#/category
,Virgin Mobile,MBB 100GB - 1 Month,Data-only,172.5,100,-,-,-,-,,1 month,5G,https://virginmobile.sa/join/#/category
,Virgin Mobile,MBB 100GB - 3 Months,Data-only,253,100,-,-,-,-,,3 months,5G,https://virginmobile.sa/join/#/category
,Virgin Mobile,MBB 300GB - 3 Months,Data-only,345,300,-,-,-,-,,3 months,5G,https://virginmobile.sa/join/#/category
,Virgin Mobile,MBB 500GB - 1 Year,Data-only,920,500,-,-,-,-,,1 year,5G,https://virginmobile.sa/join/#/category
,Salam,Solo 199,Prepaid,228.85,80,Unlimited,1800,100,Unlimited,,30 days,40GB Data Rollover,https://salammobile.sa/en/solo-199-prepaid/
,Zain,Shabab 229,Prepaid,229,103,Unlimited,1150,-,-,,4 weeks,Extra benefit,https://shop.sa.zain.com/en/product/prepaid-voice-shabab-digital/shabab-229-2023
,Virgin Mobile,Switch 200,Postpaid,230,90,Unlimited,Unlimited,-,Unlimited,,-,-,https://virginmobile.sa/join/#/category
,Jawwy,Jawwy 200,Prepaid,230,101,Unlimited,1300,-,-,,30 days,-,https://www.jawwy.sa/content/jawwy/en/shop/sim-plans/jawwy-200-hybrid.html
,Jawwy,Jawwy 200 Basic,Prepaid,230,97,Unlimited,Unlimited,-,-,,30 days,-,https://www.jawwy.sa/content/jawwy/en/shop/sim-plans/jawwysim200.html
,Zain,Postpaid 250,Postpaid,240,109,Unlimited,1100,-,-,,-,"4GB GCC roaming, 2 Data SIMs, Bronze vanity",https://shop.sa.zain.com/en/product/postpaid-250
,Yaqoot,NETii Social 5G,Data-only,83,20,40 GB (7 Apps),-,-,-,,4 weeks,5G enabled,https://yaqoot.sa/en#data-packages
,Yaqoot,NETii1 5G,Data-only,75,30,-,-,-,-,,4 weeks,5G enabled,https://yaqoot.sa/en#data-packages
,Yaqoot,NETii2 5G,Data-only,90,50,-,-,-,-,,4 weeks,5G enabled,https://yaqoot.sa/en#data-packages
,Yaqoot,NETii3 5G,Data-only,130,75,-,-,-,-,,4 weeks,5G enabled,https://yaqoot.sa/en#data-packages
,Yaqoot,NETii4 5G,Data-only,175,100,-,-,-,-,,4 weeks,5G enabled,https://yaqoot.sa/en#data-packages
,Yaqoot,NETii Unlimited 5G,Data-only,345,Unlimited,-,-,-,-,,4 weeks,5G enabled,https://yaqoot.sa/en#data-packages
,Jawwy,SIM 30,Prepaid,34.5,1,-,100,-,-,,30 days,-,https://www.jawwy.sa/content/jawwy/en/shop/sim-plans/jawwysim30extra.html
,STC,Mofawtar 3+ ,Postpaid,264.5,110,Unlimited,750 all networks,-,within Stc Unlimited + other local networks 1000,,3 months promo,,https://www.stc.com.sa/content/stc-public-store/sa/en/public-store-landing-page/postpaid-landing-page/plan-detail.html?type=new&productId=1-882T20O
,Virgin Mobile,Switch 250,Postpaid,287.5,120,Unlimited,Unlimited,-,Unlimited,,-,-,https://virginmobile.sa/join/#/category
,Lebara,eze 290,Postpaid,333.5,150,Unlimited,Unlimited,-,-,,No contract,5G enabled,https://lebara.sa/en/number-booking-new/voice-plans?category=postpaid
,Virgin Mobile,Baqah Flex 300,Prepaid,345,100,Unlimited,1500 Flex,-,-,,12 weeks,-,https://virginmobile.sa/join/#/category
,Virgin Mobile,Switch 300,Postpaid,345,155,Unlimited,Unlimited,-,Unlimited,,-,-,https://virginmobile.sa/join/#/category
,STC,Mofawtar Flex,Postpaid,370,150,Unlimited,Unlimited,200,within STC unlimited + other local networks 1500,2,3 months promo,,https://www.stc.com.sa/content/stc-public-store/sa/en/public-store-landing-page/postpaid-landing-page/plan-detail.html?type=new&productId=1-BCQU0BK
,Yaqoot,Voice Package 5X 5G,Prepaid,385,Unlimited,Unlimited,Unlimited,-,Unlimited,,4 weeks,5G enabled,https://yaqoot.sa/en#voice-packages
,Virgin Mobile,Baqah Unlimited,Prepaid,414,Unlimited,Unlimited,Unlimited,-,Unlimited,,4 weeks,-,https://virginmobile.sa/join/#/category
,Virgin Mobile,Switch 365,Postpaid,419.75,Unlimited,Unlimited,Unlimited,-,Unlimited,,-,-,https://virginmobile.sa/join/#/category